"","project.ZIP","PROJECT.NAME","AGENCY","project.CD","STATUS","artist.ZIP","project.START.date","FULL.1..amount","ART.contract..","art.contract.START","COMMUNITY.MEETING.date.s.","END.DATE","Hispanic..by.zip.code..2010","White..by.zip.code..2010","Black..by.zip.code..2010","Asian..by.zip.code..2010","Two.ore.more.races..by.zip.code..2010","American.Indian..by.zip.code..2010","Native.Hawaiin.or.Pacific.Islander...by.zip.code..2010","Age..25..by.zip.code..2010","Age.25.44..by.zip.code..2010","Age.45.64..by.zip.code..2010","Age..64..by.zip.code..2010","Median.Household.Income.2013.by.CD","X","X.1","median","pop"
"84",90033,"Hollenbeck Police Station | Site-Specific Artwork","Police","14","active","90031","7/1/2014","$209,947","$170,800","7/1/14","5/20/15","","44,703","22,458","926","2,124","1,938","538",23,"21,307","15,470","9,045","4,423","38,032.33",NA,NA,"29,978","48,852"
"85",90033,"Aliso Pico Community Center","Rec+Parks","14","completed","90034","11/1/1997","$20,000","$17,000","11/1/1997","01/20/1998, 2/10/98","10/31/99","44,703","22,458","926","2,124","1,938","538",23,"21,307","15,470","9,045","4,423","38,032.33",NA,NA,"29,978","48,852"
"86",90033,"Pecan Park Gymnasium","Rec+Parks","14","completed","90065-2152","11/6/2002","$19,400","$15,908","11/6/2002","8/5/03","11/5/05","44,703","22,458","926","2,124","1,938","538",23,"21,307","15,470","9,045","4,423","38,032.33",NA,NA,"29,978","48,852"
"87",90033,"Malabar Branch Library","Library","14","completed","91941","2/1/1995","$13,500","$13,500","2/1/1995","04/27/96","3/18/97","44,703","22,458","926","2,124","1,938","538",23,"21,307","15,470","9,045","4,423","38,032.33",NA,NA,"29,978","48,852"
"88",90033,"Evergreen Childcare Center","Rec+Parks","14","completed","90026","9/1/1997","$9,100","$7,600","9/1/1997","5/12/98","9/15/05","44,703","22,458","926","2,124","1,938","538",23,"21,307","15,470","9,045","4,423","38,032.33",NA,NA,"29,978","48,852"
"89",90035,"Robertson Branch Library","Library","05","completed","90046","5/1/1992","$25,000","$25,000","","2/18/93;11/22/93","3/17/98","2,428","21,614","2,568","1,786","1,368","82",17,"7,503","10,841","6,871","4,137","64,545.08",NA,NA,"67,964","28,418"
"90",90036,"Pan Pacific Park Recreation Center","Rec+Parks","04","completed","90504","12/8/1998","$39,000","$34,000","12/8/1998","5/20/99","1/15/02","2,992","24,801","2,148","7,519","1,384","74",38,"9,483","17,830","7,232","3,377","58,888.16",NA,NA,"77,165","36,865"
"91",90036,"Fairfax Branch Library","Library","04","completed","90232","8/9/2001","$35,000","$35,000","8/9/2001","03/06/02","9/21/05","2,993","24,801","2,148","7,519","1,384","74",38,"9,483","17,830","7,232","3,377","58,888.16",NA,NA,"77,165","36,865"
"92",90036,"Fremont Branch Library","Library","04","completed","90405","10/1/1994","$19,000","$19,000","10/1/1994","","4/1/96","2,991","24,801","2,148","7,519","1,384","74",38,"9,483","17,830","7,232","3,377","58,888.16",NA,NA,"77,165","36,865"
"93",90036,"Fairfax Branch Library [#2]","Library","04","completed","90019","7/11/2009","$30,000","$30,000","7/11/2009","8/11/09","7/27/10","2,994","24,801","2,148","7,519","1,384","74",38,"9,483","17,830","7,232","3,377","58,888.16",NA,NA,"77,165","36,865"
"94",90037,"Junipero Serra Branch Library","Library","09","completed","90019","1/1/1996","$28,000","$28,000","1/1/1996","9/21/95","6/1/99","46,954","16,396","13,893","540","2,521","686",58,"27,119","21,033","12,343","3,889","28,883.41",NA,NA,"29,130","62,276"
"95",90037,"Exposition Park Intergenerational Community Center","Rec+Parks","09","completed","90042","2/2/2000","$190,000","$155,800","6/30/2000","09/26/00","5/14/03","46,954","16,397","13,893","540","2,521","686",58,"27,119","21,033","12,343","3,889","28,883.41",NA,NA,"29,130","62,276"
"96",90037,"Vermont Square Branch Library","Library","09","completed","95064","10/1/1994","$19,000","$19,000","10/1/1994","09/06/95","1/23/97","46,954","16,395","13,893","540","2,521","686",58,"27,119","21,033","12,343","3,889","28,883.41",NA,NA,"29,130","62,276"
"97",90038,"Hollywood Pool and Bathhouse","Rec+Parks","13","active","90058","1/18/2012","$20,000","$16,400","1/18/2012","n/a","","17,056","14,888","1,224","2,348","1,465","194",41,"9,273","12,007","6,274","2,191","39,267.94",NA,NA,"36,690","28,917"
"98",90039,"Los Feliz Bikeway Bridge","BIP","04","completed","92104","8/1/1999","$10,000","$9,000","8/1/1999","N/A","1/23/02","11,674","16,118","647","5,239","1,472","185",41,"7,148","11,270","7,269","3,759","58,888.16",NA,NA,"62,134","28,514"
"99",90039,"Silver Lake Branch Library [#2]","Library","13","completed","90026","4/18/2008","$41,300","$35,000","4/18/2008","11/19/2008","4/17/11","11,675","16,118","647","5,239","1,472","185",41,"7,148","11,270","7,269","3,759","39,267.94",NA,NA,"62,134","28,514"
"100",90041,"Eagle Rock Child Care Center","Rec+Parks","14","completed","90266","7/16/1999","$9,100","$7,600","11/23/1998","3/9/99","4/15/02","9,869","13,477","612","7,778","1,447","204",29,"8,577","8,594","7,269","3,900","38,032.33",NA,NA,"62,318","27,425"
"101",90041,"Yosemite Park Recreation Center","Rec+Parks","14","completed","90039","9/6/2000","$16,000","$14,000","9/6/2000","","11/25/03","9,869","13,477","612","7,778","1,447","204",29,"8,577","8,594","7,269","3,901","38,032.33",NA,NA,"62,318","27,425"
"102",90043,"Van Ness Childcare Center","Rec+Parks","08","completed","90046","9/1/1998","$9,100","$7,600","9/1/1998","3/31/99","8/2/01","13,049","4,923","29,500","380","1,922","273",39,"15,289","12,878","12,150","6,299","30,989.52",NA,NA,"47,856","44,789"
"103",90043,"Van Ness Park Gymnasium","Rec+Parks","08","completed","90026","11/20/2003","$18,080","$14,825","11/20/2002","10/21/04","9/21/06","13,049","4,923","29,500","380","1,922","273",39,"15,289","12,878","12,150","6,299","30,989.52",NA,NA,"47,856","44,789"
"104",90043,"Hyde Park Branch Library","Library","08","completed","90012","8/7/2001","$20,000","$20,000","8/7/2001","9/19/01","2/8/05","13,049","4,923","29,500","380","1,922","273",39,"15,289","12,878","12,150","6,299","30,989.52",NA,NA,"47,856","44,789"
"105",90043,"Angeles Mesa Branch Library","Library","08","completed","90037","1/1/1997","$16,000","$16,000","1/1/1997","4/9/97","6/1/99","13,049","4,923","29,500","380","1,922","273",39,"15,289","12,878","12,150","6,299","30,989.52",NA,NA,"47,856","44,789"
"106",90044,"Algin Sutton Child Care Center","Rec+Parks","08","completed","90019","9/1/1997","$9,100","$7,600","1/1/1998","3/31/98","1/13/00","54,351","20,135","33,656","338","3,566","666",81,"39,807","28,605","17,957","6,566","30,989.52",NA,NA,"30,862","89,779"
"107",90044,"Y.O.U Alternative High School","CDD","08","completed","90305","1/1/1996","$30,000","$30,000","1/1/1996","10/11/1996","7/22/02","54,351","20,135","33,656","338","3,566","666",81,"39,807","28,605","17,957","6,566","30,989.52",NA,NA,"30,862","89,779"
"108",90044,"John Muir Branch Library","Library","08","completed","90717","11/1/1996","$18,750","$19,000","","","1/10/98","54,351","20,135","33,656","338","3,566","666",81,"39,807","28,605","17,957","6,566","30,989.52",NA,NA,"30,862","89,779"
"109",90044,"Algin Sutton Recreation Center Pool","Rec+Parks","08","completed","90019","9/1/1997","$9,100","$7,600","9/1/1997","3/31/98","1/13/00","54,351","20,135","33,656","338","3,566","666",81,"39,807","28,605","17,957","6,566","30,989.52",NA,NA,"30,862","89,779"
"110",90045,"Tom Bradley International Terminal","LAWA","11","completed","11217","3/8/2007","$18,000","$18,000","3/1/2008","n/a","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"111",90045,"Tom Bradley International Terminal","LAWA","11","completed","90302","3/8/2007","$13,100","$13,100","3/1/2008","n/a","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"112",90045,"La Tijera Blvd. Bridge over Centinela Creek","BIP","11","completed","91741","9/23/2003","$15,000","$10,000","N/A","12/07/2004","","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"113",90045,"Tom Bradley International Terminal","LAWA","11","completed","93003","3/8/2007","$9,461","$9,461","3/1/2008","n/a","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"114",90045,"Tom Bradley International Terminal","LAWA","11","completed","77006","3/8/2007","$15,000","$15,000","3/1/2008","n/a","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"115",90045,"Tom Bradley International Terminal","LAWA","11","completed","91214","3/8/2007","$15,100","$15,100","3/1/2008","n/a","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"116",90045,"Tom Bradley International Terminal","LAWA","11","completed","11211","3/8/2007","$12,979","$12,979","3/1/2008","n/a","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"117",90045,"Tom Bradley International Terminal","LAWA","11","completed","60605","3/8/2007","$16,000","$16,000","3/1/2008","","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"118",90045,"Tom Bradley International Terminal","LAWA","11","completed","11373","3/8/2007","$17,000","$17,000","3/1/2008","n/a","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"119",90045,"Tom Bradley International Terminal","LAWA","11","completed","92024","3/8/2007","$16,665","$16,665","3/1/2008","n/a","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"120",90045,"Tom Bradley International Terminal","LAWA","11","completed","10018","3/8/2007","$16,000","$16,000","3/1/2008","n/a","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"121",90045,"Bradley West International Terminal Expansion","LAWA","11","completed","90068","","$1,219,512","$1,000,000","12/2/2011","","","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"122",90045,"Tom Bradley International Terminal","LAWA","11","completed","90066","3/8/2007","$12,730","$12,730","3/1/2008","n/a","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"123",90045,"Tom Bradley International Terminal","LAWA","11","completed","94131","3/8/2007","$14,770","$14,770","3/1/2008","n/a","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"124",90045,"Westchester-Loyola Village Branch Library","Library","11","completed","90031","2/26/2001","$20,000","$20,000","2/26/2001","3/26/01","2/25/03","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"125",90045,"Tom Bradley International Terminal","LAWA","11","completed","10011","3/8/2007","$12,725","$12,725","3/1/2008","n/a","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"126",90045,"Bradley West International Terminal Expansion","LAWA","11","completed","90031","","$1,283,902","$1,052,800","12/2/2011","","","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"127",90045,"Westchester Fire Station No. 5 [#2]","Fire","11","completed","90042","2/19/2008","$72,370","$47,000","2/19/2008","3/16/09","2/18/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"128",90045,"Tom Bradley International Terminal","LAWA","11","completed","11205","3/8/2007","$15,960","$15,960","3/1/2008","n/a","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"129",90045,"Tom Bradley International Terminal","LAWA","11","completed","94105","3/8/2007","$12,700","$12,700","3/1/2008","","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"130",90045,"Tom Bradley International Terminal","LAWA","11","completed","94103","3/8/2007","$16,000","$16,000","3/1/2008","n/a","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"131",90045,"Bradley West International Terminal Expansion","LAWA","11","completed","90008","","$1,219,512","$1,000,000","12/2/2011","","","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"132",90045,"Tom Bradley International Terminal","LAWA","11","completed","90041","3/8/2007","$15,810","$15,810","3/1/2008","n/a","2/28/11","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"133",90045,"Ahmanson Recruit Training Center","Police","11","completed","90031","1/1/1995","$375,000","$375,000","1/1/1995","","2/10/98","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"134",90045,"F.A.A Air Traffic Control Tower","LAWA","11","completed","98232","7/1/1992","$68,500","$64,000","","","10/1/95","7,203","24,136","5,605","4,751","2,396","148",135,"13,999","12,598","10,006","4,425","82,595.81",NA,NA,"93,889","39,476"
"135",90046,"Will & Ariel Durant Branch Library [#2]","Library","04","completed","90026","2/18/2009","$20,000","$20,000","2/18/2009","3/17/09","2/17/12","4,787","40,807","1,708","2,642","1,813","160",42,"7,704","23,874","11,712","6,605","58,888.16",NA,NA,"66,063","48,581"
"136",90046,"Will & Ariel Durant Branch Library","Library","04","completed","90291","12/19/2000","$20,000","$20,000","12/19/2000","1/17/01; 04/16/01","6/2/04","4,787","40,807","1,708","2,642","1,813","160",42,"7,704","23,874","11,712","6,605","58,888.16",NA,NA,"66,063","48,581"
"137",90047,"South LA Animal Shelter","Animal Services","08","completed","90045","4/2/2009","$170,000","$130,000","4/2/2009","","12/18/12","15,393","5,734","31,915","260","1,656","223",54,"17,826","14,128","12,204","6,409","30,989.52",NA,NA,"42,795","48,606"
"138",90048,"Robertson Boulevard Parking Structure","DOT","05","completed","90065","2/1/1997","$60,000","$60,000","2/1/1997","06/10/97","11/30/98","1,579","17,978","652","1,571","799","37",15,"3,489","10,028","4,927","3,586","64,545.08",NA,NA,"71,132","21,397"
"139",90049,"US-405 Sepulveda Pass Widening","BIP","05","completed","90065","","$25,000","$25,000","N/A","04/08/2010; 04/22/2010; 05/27/2010","","1,934","29,864","514","3,076","1,398","48",27,"8,358","12,405","9,440","6,573","64,545.08",NA,NA,"131,636","35,482"
"140",90057,"Lafayette Park Gymnasium/Community Center","Rec+Parks","10","completed","90302","8/10/2005","$35,000","$28,700","8/10/2005","4/25/2006","11/12/10","31,147","12,924","2,087","8,991","2,389","722",99,"16,274","17,476","8,449","4,003","38,673.58",NA,NA,"26,694","44,998"
"141",90057,"Felipe de Neve Branch Library","Library","10","completed","90803","10/1/1994","$19,000","$19,000","10/1/1994","","10/27/98","31,147","12,924","2,087","8,991","2,389","722",99,"16,274","17,476","8,449","4,003","38,673.58",NA,NA,"26,694","44,998"
"142",90059,"109th Street Pool","Rec+Parks","15","completed","90039","6/30/2009","$36,400","$18,500","6/30/2009","","3/1/11","26,242","8,900","14,047","116","1,467","274",64,"20,002","12,283","7,618","2,337","44,302.32",NA,NA,"32,094","40,952"
"143",90059,"Imperial Courts Community Center","Rec+Parks","15","completed","90039","7/1/1997","$14,000","$16,250","7/1/1997","8/27/97","9/4/02","26,242","8,900","14,047","116","1,467","274",64,"20,002","12,283","7,618","2,337","44,302.32",NA,NA,"32,094","40,952"
"144",90061,"South LA Fire Station No. 64","Fire","08","completed","90066","9/23/2003","$58,434","$66,000","9/23/2003","01/25/05","3/19/09","16,379","5,794","10,026","96","979","170",44,"12,054","8,367","5,248","2,085","30,989.52",NA,NA,"37,564","26,872"
"145",90062,"Martin Luther King Therapeutic Center","Rec+Parks","08","completed","90034","7/1/1999","$8,000","$8,000","7/1/1999","","8/1/03","19,373","6,955","12,420","387","1,473","275",28,"13,095","10,550","7,469","2,957","30,989.52",NA,NA,"33,418","32,821"
"146",90062,"Exposition Park Regional Branch Library","Library","08","completed","91101","8/9/2006","$41,300","$35,000","8/9/2006","10/11/2007","8/6/08","19,373","6,955","12,420","387","1,473","275",28,"13,095","10,550","7,469","2,958","30,989.52",NA,NA,"33,418","32,821"
"147",90064,"Palms Area Child Care Center","Rec+Parks","05","completed","90023","2/20/2001","$9,100","$7,600","2/22/2001","5/29/01","2/5/03","3,827","17,703","670","4,265","1,297","68",26,"6,744","8,921","6,748","3,947","64,545.08",NA,NA,"86,533","25,403"
"148",90064,"Palms-Rancho Park Branch Library","Library","05","completed","90066","4/27/2000","$20,000","$20,000","4/7/2000","8/8/00","2/24/03","3,826","17,703","670","4,265","1,297","68",26,"6,744","8,921","6,748","3,947","64,545.08",NA,NA,"86,533","25,403"
"149",90064,"West LA Parking Structure","DOT","05","completed","90046","1/1/1996","$37,000","$30,000","1/1/1996","","10/20/99","3,825","17,703","670","4,265","1,297","68",26,"6,744","8,921","6,748","3,947","64,545.08",NA,NA,"86,533","25,403"
"150",90064,"West LA Animal Care & Services Center","Animal Services","11","completed","90019","4/29/2003","$70,600","$58,000","4/29/2003","11/6/3","10/23/07","3,828","17,703","670","4,265","1,297","68",26,"6,744","8,921","6,748","3,947","82,595.81",NA,NA,"86,533","25,403"
"151",90065,"Cypress Park Branch Library [#2]","Library","01","completed","90302","9/1/2004","$10,000","$10,000","9/1/2004","n/a","4/20/05","29,101","22,180","917","7,021","2,320","370",36,"15,134","15,698","11,218","5,041","38,673.58",NA,NA,"56,161","45,527"
"152",90065,"Cypress Park Branch Library [#1]","Library","01","completed","91331","2/9/2000","$20,000","$20,000","2/9/2000","3/27/00","1/6/03","29,101","22,180","917","7,021","2,320","370",36,"15,134","15,698","11,218","5,041","38,673.58",NA,NA,"56,161","45,527"
"153",90065,"Riverside Dr. Bridge | Roundabout","BIP","01","active","90065","3/9/2009","$20,000","$20,000","N/A","3/25/2010, 4/15/2010","","29,101","22,180","917","7,021","2,320","370",36,"15,134","15,698","11,218","5,041","38,673.58",NA,NA,"56,161","45,527"
"154",90065,"Palisades Branch Library","Library","11","completed","92870","9/1/2004","$20,000","$20,000","9/1/2004","n/a","5/18/06","29,101","22,180","917","7,021","2,320","370",36,"15,134","15,698","11,218","5,041","82,595.81",NA,NA,"56,161","45,527"
"155",90066,"Mar Vista Fire Station No. 62","Fire","11","completed","92502","11/4/2003","$58,434","$50,000","11/4/2003","06/08/04","7/13/07","16,768","34,522","2,120","7,979","2,894","447",146,"14,287","22,340","13,703","6,881","82,595.81",NA,NA,"64,732","55,277"
"156",90066,"Mar Vista Library","Library","11","completed","90086","6/23/2000","$20,000","$20,000","6/23/2000","11-16-00","12/4/02","16,768","34,522","2,120","7,979","2,894","447",146,"14,287","22,340","13,703","6,881","82,595.81",NA,NA,"64,732","55,277"
"157",90071,"Civic Center Fire Station No. 4","Fire","14","completed","91001","1/24/2008","$130,000","$76,000","1/24/2008","n/a","1/23/11","5","9","5","1","0","0",0,"4","4","8","0","38,032.33",NA,NA,"18,994","15"
"158",90094,"Playa Vista Branch Library [#2]","Library","11","completed","90045","12/5/2008","$35,000","$35,000","12/5/2008","4/18/09","12/4/09","549","3,124","621","1,207","350","14",13,"1,272","3,032","931","373","82,595.81",NA,NA,"75,221","5,464"
"159",90230,"Culver Slauson Recreation Center","Rec+Parks","11","active","91030","8/1/2013","$11,480","$14,000","08/01/2013","","","10,325","17,175","3,299","4,661","1,806","191",88,"9,218","10,776","8,465","4,588","82,595.81",NA,NA,"74,348","31,766"
"160",90232,"Palms Fire Station No. 43","Fire","05","completed","90302","10/1/2003","$59,198","$50,000","10/1/2003","12/16/3","9/24/07","3,932","9,201","981","2,294","964","71",40,"3,982","5,815","4,093","1,907","64,545.08",NA,NA,"67,167","15,149"
"161",90272,"Pacific Palisades Recreation Center","Rec+Parks","11","completed","90291","11/1/1997","$15,000","$15,000","11/1/1997","7/1/98","9/25/00","1,039","20,682","173","1,228","691","31",9,"6,580","5,081","7,763","4,643","82,595.81",NA,NA,"150,466","22,818"
"162",90291,"Venice Beach Rose Avenue, Restroom Renovation","BOE","11","completed","90031","6/16/2015","$7,500","$6,150","6/16/2015",NA,"6/15/16","5,668","21,817","1,491","1,251","1,293","197",50,"5,647","14,087","7,093","2,501","82,595.81",NA,NA,"71,035","28,341"
"163",90291,"Oakwood Recreation Center","Rec+Parks","11","completed","90034","7/1/1999","$9,100","$7,600","1/1/2000","11/18/99; 12/21/99","5/14/03","5,668","21,817","1,491","1,251","1,293","197",50,"5,647","14,087","7,093","2,501","82,595.81",NA,NA,"71,035","28,341"
"164",90291,"Venice-Abbot Kinney Branch Library","Library","11","completed","91776","10/1/1994","$27,500","$27,500","10/1/1994","03/21/95","8/1/96","5,668","21,817","1,491","1,251","1,293","197",50,"5,647","14,087","7,093","2,501","82,595.81",NA,NA,"71,035","28,341"
"165",90293,"Environmental Learning Center | Hyperion Treatment Plant","BOE","11","completed","90065","12/14/2007","$85,000","$70,000","02/12/2008","11/4/2009","5/26/11","1,284","9,220","692","1,211","653","35",21,"2,054","5,432","3,536","1,577","82,595.81",NA,NA,"104,082","12,132"
"166",90710,"Harbor Gateway-Harbor City Branch Library","Library","15","completed","90035","11/12/2002","$20,000","$20,000","11/12/2002","05/13/04","10/11/06","11,422","10,657","3,390","4,614","1,422","222",153,"8,734","7,931","6,416","3,318","44,302.32",NA,NA,"61,776","25,457"
"167",90731,"Harbor Animal Care & Services Center","Animal Services","15","completed","90731","5/13/2003","$68,100","$55,850","5/13/2003","9/12/5","8/19/08","34,816","31,732","4,369","2,721","3,952","721",352,"20,559","19,732","15,415","6,170","44,302.32",NA,NA,"49,006","59,662"
"168",90731,"Harbor Police Station | Youth Apprenticeship in Public Art [YAPA]","Police","15","in development","tbd","tbd","$89,948","$73,758","","","","31,732","34,816","4,369","2,721","3,952","721",352,"20,559","19,732","15,415","6,170","44,302.32",NA,NA,"49,006","59,662"
"169",90731,"Harbor Police Station | Site-Specific Artwork","Police","15","completed","10013","9/24/2003","$309,302","$253,650","9/24/2003","6/16/4","","34,816","31,732","4,369","2,721","3,952","721",352,"20,559","19,732","15,415","6,170","44,302.32",NA,NA,"49,006","59,662"
"170",90731,"San Pedro Fire Station No. 36","Fire","15","completed","90731","11/18/2003","$58,434","$53,903","11/18/2003","09/13/04","","34,816","31,732","4,369","2,721","3,952","721",352,"20,559","19,732","15,415","6,170","44,302.32",NA,NA,"49,006","59,662"
